Volumenstrom Leistung bei Spreizung 20x1,9 25x2,3 32x2,9 40x3,7 50x4,6 63x5,8
20 K 30 K 40 K v R v R v R v R v R v R
[l/s] [l/h] [kW] [kW] [kW] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m]
0,06 216 5,0 7,5 10,0 0,29 75,1 0,18 25,0 – – – – – – – –
0,07 252 5,9 8,8 11,7 0,34 98,6 0,21 32,7 – – – – – – – –
0,08 288 6,7 10,0 13,4 0,39 124,9 0,24 41,4 – – – – – – – –
0,09 324 7,5 11,3 15,1 0,44 154,0 0,28 50,9 – – – – – – – –
0,10 360 8,4 12,6 16,7 0,49 185,8 0,31 61,4 – – – – – – – –
0,11 396 9,2 13,8 18,4 0,53 220,3 0,34 72,6 – – – – – – – –
0,12 432 10,0 15,1 20,1 0,58 257,4 0,37 84,8 – – – – – – – –
0,13 468 10,9 16,3 21,8 0,63 297,2 0,40 97,7 0,24 29,4 – – – – – –
0,14 504 11,7 17,6 23,4 0,68 339,5 0,43 111,5 0,26 33,6 – – – – – –
0,15 540 12,6 18,8 25,1 0,73 384,4 0,46 126,2 0,28 37,9 – – – – – –
0,16 576 13,4 20,1 26,8 0,78 431,9 0,49 141,6 0,30 42,5 – – – – – –
0,18 648 15,1 22,6 30,1 0,87 534,5 0,55 174,9 0,33 52,4 – – – – – –
0,20 720 16,7 25,1 33,5 0,97 647,1 0,61 211,3 0,37 63,2 – – – – – –
0,22 792 18,4 27,6 36,8 1,07 769,6 0,67 250,9 0,41 74,9 – – – – – –
0,24 864 20,1 30,1 40,2 1,16 902,0 0,73 293,5 0,45 87,5 – – – – – –
0,26 936 21,8 32,7 43,5 1,26 1044,1 0,80 339,3 0,48 101,0 0,31 35,3 – – – –
0,28 1008 23,4 35,2 46,9 1,36 1196,0 0,86 388,1 0,52 115,4 0,34 40,3 – – – –
0,30 1080 25,1 37,7 50,2 1,46 1357,6 0,92 439,9 0,56 130,7 0,36 45,5 – – – –
0,35 1260 29,3 44,0 58,6 – – 1,07 582,4 0,65 172,5 0,42 60,0 – – – –
0,40 1440 33,5 50,2 67,0 – – 1,22 743,5 0,74 219,6 0,48 76,3 – – – –
0,45 1620 37,7 56,5 75,3 – – 1,38 922,9 0,83 272,0 0,54 94,3 0,34 31,9 – –
0,50 1800 41,9 62,8 83,7 – – – – 0,93 329,4 0,60 114,0 0,38 38,6 – –
0,60 2160 50,2 75,3 100,5 – – – – 1,11 459,6 0,72 158,6 0,46 53,5 – –
0,70 2520 58,6 87,9 117,2 – – – – 1,30 609,8 0,84 209,8 0,54 70,7 – –
0,80 2880 67,0 100,5 134,0 – – – – 1,48 779,8 0,96 267,7 0,61 90,0 – –
0,90 3240 75,3 113,0 150,7 – – – – – – 1,08 332,0 0,69 111,4 0,43 36,4
1,00 3600 83,7 125,6 167,4 – – – – – – 1,20 402,8 0,76 134,9 0,48 44,1
1,10 3960 92,1 138,1 184,2 – – – – – – 1,32 480,0 0,84 160,5 0,53 52,3
1,20 4320 100,5 150,7 200,9 – – – – – – 1,44 563,5 0,92 188,1 0,58 61,3
1,30 4680 108,8 163,3 217,7 – – – – – – – – 0,99 217,8 0,63 70,8
1,40 5040 117,2 175,8 234,4 – – – – – – – – 1,07 249,5 0,67 81,0
1,50 5400 125,6 188,4 251,2 – – – – – – – – 1,15 283,2 0,72 91,9
1,60 5760 134,0 200,9 267,9 – – – – – – – – 1,22 318,8 0,77 103,4
1,80 6480 150,7 226,0 301,4 – – – – – – – – 1,38 396,2 0,87 128,2
2,00 7200 167,4 251,2 334,9 – – – – – – – – 1,53 481,3 0,96 155,4
2,20 7920 184,2 276,3 368,4 – – – – – – – – 1,68 574,3 1,06 185,1
2,40 8640 201 301 402 – – – – – – – – 1,84 675,1 1,16 217,2
2,60 9360 218 327 435 – – – – – – – – 1,99 783,6 1,25 251,8
2,80 10080 234 352 469 – – – – – – – – – – 1,35 288,7
3,00 10800 251 377 502 – – – – – – – – – – 1,45 327,9
3,25 11700 272 408 544 – – – – – – – – – – 1,57 380,4
3,50 12600 293 440 586 – – – – – – – – – – 1,69 436,5
3,75 13500 314 471 628 – – – – – – – – – – 1,81 496,2
4,00 14400 335 502 670 – – – – – – – – – – 1,93 559,6
