Volumenstrom Leistung bei Spreizung 75x6,8 90x8,2 110x10 125x11,4 140x12,7 160x14,6
20 K 30 K 40 K v R v R v R v R v R v R
[l/s] [l/h] [kW] [kW] [kW] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m] [m/s] [Pa/m]
2,40 8640 201 301 402 0,81 91,3 0,56 37,9 – – – – – – – –
2,60 9360 218 327 435 0,88 105,7 0,61 43,8 – – – – – – – –
2,80 10080 234 352 469 0,95 121,0 0,66 50,1 – – – – – – – –
3,00 10800 251 377 502 1,01 137,4 0,71 56,8 – – – – – – – –
3,25 11700 272 408 544 1,10 159,2 0,76 65,8 – – – – – – – –
3,50 12600 293 440 586 1,18 182,4 0,82 75,3 – – – – – – – –
3,75 13500 314 471 628 1,27 207,2 0,88 85,5 – – – – – – – –
4,00 14400 335 502 670 1,35 233,4 0,94 96,2 – – – – – – – –
4,25 15300 356 534 712 1,44 261,2 1,00 107,6 0,67 40,4 – – – – – –
4,50 16200 377 565 753 1,52 290,4 1,06 119,5 0,71 44,8 – – – – – –
4,75 17100 398 597 795 1,60 321,0 1,12 132,0 0,75 49,5 – – – – – –
5,00 18000 419 628 837 1,69 353,1 1,18 145,1 0,79 54,4 – – – – – –
5,25 18900 440 659 879 1,77 386,7 1,23 158,8 0,83 59,5 – – – – – –
5,50 19800 460 691 921 1,86 421,7 1,29 173,0 0,86 64,8 – – – – – –
5,75 20700 481 722 963 1,94 458,1 1,35 187,9 0,90 70,3 – – – – – –
6,00 21600 502 753 1005 – – 1,41 203,3 0,94 76,0 – – – – – –
6,25 22500 523 785 1047 – – 1,47 219,3 0,98 81,9 – – – – – –
6,50 23400 544 816 1088 – – 1,53 235,8 1,02 88,0 – – – – – –
7,0 25200 586 879 1172 – – 1,65 270,7 1,10 100,9 0,85 54,3 – – – –
7,5 27000 628 942 1256 – – 1,76 307,8 1,18 114,6 0,91 61,6 – – – –
8,0 28800 670 1005 1340 – – 1,88 347,1 1,26 129,2 0,98 69,4 – – – –
8,5 30600 712 1067 1423 – – 2,00 388,7 1,34 144,5 1,04 77,6 – – – –
9,0 32400 753 1130 1507 – – – – 1,41 160,7 1,10 86,2 – – – –
9,5 34200 795 1193 1591 – – – – 1,49 177,6 1,16 95,3 – – – –
10,0 36000 837 1256 1674 – – – – 1,57 195,4 1,22 104,7 0,97 59,8 – –
10,5 37800 879 1319 1758 – – – – 1,65 214,0 1,28 114,6 1,02 65,5 – –
11,0 39600 921 1381 1842 – – – – 1,73 233,4 1,34 125,0 1,07 71,3 – –
12,0 43200 1005 1507 2009 – – – – 1,89 274,5 1,46 146,9 1,16 83,8 – –
13,0 46800 1088 1633 2177 – – – – 2,04 318,8 1,58 170,4 1,26 97,2 0,97 50,9
14,0 50400 1172 1758 2344 – – – – – – 1,71 195,7 1,36 111,5 1,04 58,4
15,0 54000 1256 1884 2512 – – – – – – 1,83 222,6 1,45 126,7 1,12 66,3
16,0 57600 1340 2009 2679 – – – – – – 1,95 251,1 1,55 142,9 1,19 74,7
17,0 61200 1423 2135 2846 – – – – – – – – 1,65 160,0 1,27 83,6
18,0 64800 1507 2260 3014 – – – – – – – – 1,75 178,0 1,34 92,9
19,0 68400 1591 2386 3181 – – – – – – – – 1,84 196,9 1,41 102,8
20,0 72000 1674 2512 3349 – – – – – – – – 1,94 216,7 1,49 113,0
21,0 75600 1758 2637 3516 – – – – – – – – – – 1,56 123,8
22,0 79200 1842 2763 3684 – – – – – – – – – – 1,64 135,0
24,0 86400 2009 3014 4019 – – – – – – – – – – 1,79 158,8
26,0 93600 2177 3265 4353 – – – – – – – – – – 1,93 184,5
28,0 100800 2344 3516 4688 – – – – – – – – – – 2,08 212,0
30,0 108000 2512 3767 5023 – – – – – – – – – – – –
